binding-form variants: 29 program(s) -> 197 (forms global,closure,attribute,list_elem,dict_elem,default_param,pos_param,kwargs_expand, 1 literal(s) each)

torch 2.14.0+cpu  device cpu  backend=inductor  reruns=1
197 program(s) -> results\binding_phase1

  shape_boundary__bind_global0 0 candidate(s), 0 submittable, 6 tests, 20 compiles  [8.9s]
  shape_boundary__bind_closure0 0 candidate(s), 0 submittable, 6 tests, 21 compiles  [1.7s]
  shape_boundary__bind_attribute0 0 candidate(s), 0 submittable, 6 tests, 20 compiles  [1.6s]
  shape_boundary__bind_list_elem0 0 candidate(s), 0 submittable, 6 tests, 20 compiles  [1.6s]
  shape_boundary__bind_dict_elem0 0 candidate(s), 0 submittable, 6 tests, 20 compiles  [2.0s]
  shape_boundary__bind_default_param0 0 candidate(s), 0 submittable, 6 tests, 20 compiles  [1.4s]
  shape_boundary__bind_pos_param0 0 candidate(s), 0 submittable, 6 tests, 20 compiles  [1.4s]
  mod_tiling__bind_global0 0 candidate(s), 0 submittable, 6 tests, 21 compiles  [2.1s]
  mod_tiling__bind_closure0 0 candidate(s), 0 submittable, 6 tests, 21 compiles  [2.4s]
  mod_tiling__bind_attribute0 0 candidate(s), 0 submittable, 6 tests, 21 compiles  [2.0s]
  mod_tiling__bind_list_elem0 0 candidate(s), 0 submittable, 6 tests, 21 compiles  [1.9s]
  mod_tiling__bind_dict_elem0 0 candidate(s), 0 submittable, 6 tests, 21 compiles  [2.2s]
  mod_tiling__bind_default_param0 0 candidate(s), 0 submittable, 6 tests, 21 compiles  [2.1s]
  mod_tiling__bind_pos_param0 0 candidate(s), 0 submittable, 6 tests, 21 compiles  [2.3s]
  index_chain__bind_global0 0 candidate(s), 0 submittable, 6 tests, 21 compiles  [2.4s]
  index_chain__bind_closure0 0 candidate(s), 0 submittable, 6 tests, 21 compiles  [2.4s]
  index_chain__bind_attribute0 0 candidate(s), 0 submittable, 6 tests, 21 compiles  [2.0s]
  index_chain__bind_list_elem0 0 candidate(s), 0 submittable, 6 tests, 21 compiles  [1.8s]
  index_chain__bind_dict_elem0 0 candidate(s), 0 submittable, 6 tests, 21 compiles  [2.4s]
  index_chain__bind_default_param0 0 candidate(s), 0 submittable, 6 tests, 21 compiles  [2.7s]
  index_chain__bind_pos_param0 0 candidate(s), 0 submittable, 6 tests, 21 compiles  [2.0s]
  dtype_read__bind_global0 0 candidate(s), 0 submittable, 6 tests, 21 compiles  [2.8s]
  dtype_read__bind_closure0 0 candidate(s), 0 submittable, 6 tests, 21 compiles  [3.0s]
  dtype_read__bind_attribute0 0 candidate(s), 0 submittable, 6 tests, 21 compiles  [2.4s]
  dtype_read__bind_list_elem0 0 candidate(s), 0 submittable, 6 tests, 21 compiles  [2.5s]
  dtype_read__bind_dict_elem0 0 candidate(s), 0 submittable, 6 tests, 21 compiles  [3.2s]
  dtype_read__bind_default_param0 0 candidate(s), 0 submittable, 6 tests, 21 compiles  [2.3s]
  dtype_read__bind_pos_param0 0 candidate(s), 0 submittable, 6 tests, 21 compiles  [2.0s]
  python_flag__bind_global0 0 candidate(s), 0 submittable, 6 tests, 21 compiles  [2.0s]
  python_flag__bind_closure0 0 candidate(s), 0 submittable, 6 tests, 21 compiles  [2.5s]
  python_flag__bind_attribute0 0 candidate(s), 0 submittable, 6 tests, 21 compiles  [1.9s]
  python_flag__bind_list_elem0 0 candidate(s), 0 submittable, 6 tests, 21 compiles  [2.0s]
  python_flag__bind_dict_elem0 0 candidate(s), 0 submittable, 6 tests, 21 compiles  [2.1s]
  python_flag__bind_default_param0 0 candidate(s), 0 submittable, 6 tests, 21 compiles  [2.3s]
  python_flag__bind_pos_param0 0 candidate(s), 0 submittable, 6 tests, 21 compiles  [2.3s]
  python_flag__bind_kwargs_expand0 0 candidate(s), 0 submittable, 6 tests, 21 compiles  [2.0s]
  python_flag_semantic__bind_global0 0 candidate(s), 0 submittable, 6 tests, 21 compiles  [1.9s]
  python_flag_semantic__bind_closure0 0 candidate(s), 0 submittable, 6 tests, 21 compiles  [1.7s]
  python_flag_semantic__bind_attribute0 0 candidate(s), 0 submittable, 6 tests, 21 compiles  [2.0s]
  python_flag_semantic__bind_list_elem0 0 candidate(s), 0 submittable, 6 tests, 21 compiles  [2.0s]
  python_flag_semantic__bind_dict_elem0 0 candidate(s), 0 submittable, 6 tests, 21 compiles  [2.4s]
  python_flag_semantic__bind_default_param0 0 candidate(s), 0 submittable, 6 tests, 21 compiles  [2.0s]
  python_flag_semantic__bind_pos_param0 0 candidate(s), 0 submittable, 6 tests, 21 compiles  [2.0s]
  scalar_compare__bind_global0 0 candidate(s), 0 submittable, 6 tests, 21 compiles  [7.6s]
  scalar_compare__bind_closure0 0 candidate(s), 0 submittable, 6 tests, 21 compiles  [2.7s]
  scalar_compare__bind_attribute0 0 candidate(s), 0 submittable, 6 tests, 21 compiles  [2.2s]
  scalar_compare__bind_list_elem0 0 candidate(s), 0 submittable, 6 tests, 21 compiles  [2.3s]
  scalar_compare__bind_dict_elem0 0 candidate(s), 0 submittable, 6 tests, 21 compiles  [2.1s]
  scalar_compare__bind_default_param0 0 candidate(s), 0 submittable, 6 tests, 21 compiles  [2.0s]
  scalar_compare__bind_pos_param0 0 candidate(s), 0 submittable, 6 tests, 21 compiles  [2.4s]
  none_check__bind_global0 0 candidate(s), 0 submittable, 6 tests, 21 compiles  [2.1s]
  none_check__bind_closure0 0 candidate(s), 0 submittable, 6 tests, 21 compiles  [1.8s]
  none_check__bind_attribute0 0 candidate(s), 0 submittable, 6 tests, 21 compiles  [2.5s]
  none_check__bind_list_elem0 0 candidate(s), 0 submittable, 6 tests, 21 compiles  [1.9s]
  none_check__bind_dict_elem0 0 candidate(s), 0 submittable, 6 tests, 21 compiles  [2.2s]
  none_check__bind_default_param0 0 candidate(s), 0 submittable, 6 tests, 21 compiles  [2.1s]
  none_check__bind_pos_param0 0 candidate(s), 0 submittable, 6 tests, 21 compiles  [2.0s]
  view_inplace__bind_global0 0 candidate(s), 0 submittable, 6 tests, 21 compiles  [3.3s]
  view_inplace__bind_closure0 0 candidate(s), 0 submittable, 4 tests, 14 compiles  [2.6s]
  view_inplace__bind_attribute0 0 candidate(s), 0 submittable, 6 tests, 21 compiles  [3.3s]
  view_inplace__bind_list_elem0 0 candidate(s), 0 submittable, 6 tests, 21 compiles  [3.4s]
  view_inplace__bind_dict_elem0 0 candidate(s), 0 submittable, 6 tests, 21 compiles  [3.2s]
  view_inplace__bind_default_param0 0 candidate(s), 0 submittable, 6 tests, 21 compiles  [3.4s]
  view_inplace__bind_pos_param0 0 candidate(s), 0 submittable, 6 tests, 21 compiles  [3.6s]
  noncontig_copy__bind_global0 0 candidate(s), 0 submittable, 6 tests, 21 compiles  [2.8s]
  noncontig_copy__bind_closure0 0 candidate(s), 0 submittable, 4 tests, 14 compiles  [1.7s]
  noncontig_copy__bind_attribute0 0 candidate(s), 0 submittable, 6 tests, 21 compiles  [2.4s]
  noncontig_copy__bind_list_elem0 0 candidate(s), 0 submittable, 6 tests, 21 compiles  [3.0s]
  noncontig_copy__bind_dict_elem0 0 candidate(s), 0 submittable, 6 tests, 21 compiles  [3.0s]
  noncontig_copy__bind_default_param0 0 candidate(s), 0 submittable, 6 tests, 21 compiles  [3.5s]
  noncontig_copy__bind_pos_param0 0 candidate(s), 0 submittable, 6 tests, 21 compiles  [2.9s]
  overlapping_views__bind_global0 0 candidate(s), 0 submittable, 6 tests, 21 compiles  [3.9s]
  overlapping_views__bind_closure0 0 candidate(s), 0 submittable, 4 tests, 14 compiles  [2.9s]
  overlapping_views__bind_attribute0 0 candidate(s), 0 submittable, 6 tests, 21 compiles  [3.6s]
  overlapping_views__bind_list_elem0 0 candidate(s), 0 submittable, 6 tests, 21 compiles  [3.4s]
  overlapping_views__bind_dict_elem0 0 candidate(s), 0 submittable, 6 tests, 21 compiles  [3.0s]
  overlapping_views__bind_default_param0 0 candidate(s), 0 submittable, 6 tests, 21 compiles  [2.8s]
  overlapping_views__bind_pos_param0 0 candidate(s), 0 submittable, 6 tests, 21 compiles  [9.7s]
  alias_returned__bind_global0 0 candidate(s), 0 submittable, 6 tests, 21 compiles  [1.4s]
  alias_returned__bind_closure0 0 candidate(s), 0 submittable, 6 tests, 21 compiles  [1.8s]
  alias_returned__bind_attribute0 0 candidate(s), 0 submittable, 6 tests, 21 compiles  [1.3s]
  alias_returned__bind_list_elem0 0 candidate(s), 0 submittable, 6 tests, 21 compiles  [1.3s]
  alias_returned__bind_dict_elem0 0 candidate(s), 0 submittable, 6 tests, 21 compiles  [1.3s]
  alias_returned__bind_default_param0 0 candidate(s), 0 submittable, 6 tests, 21 compiles  [1.3s]
  alias_returned__bind_pos_param0 0 candidate(s), 0 submittable, 6 tests, 21 compiles  [1.3s]
  conditional_mutation__bind_global0 0 candidate(s), 0 submittable, 6 tests, 17 compiles  [1.4s]
  conditional_mutation__bind_closure0 0 candidate(s), 0 submittable, 5 tests, 17 compiles  [1.7s]
  conditional_mutation__bind_attribute0 0 candidate(s), 0 submittable, 6 tests, 17 compiles  [1.3s]
  conditional_mutation__bind_list_elem0 0 candidate(s), 0 submittable, 6 tests, 17 compiles  [1.3s]
  conditional_mutation__bind_dict_elem0 0 candidate(s), 0 submittable, 6 tests, 17 compiles  [1.4s]
  conditional_mutation__bind_default_param0 0 candidate(s), 0 submittable, 6 tests, 17 compiles  [1.3s]
  conditional_mutation__bind_pos_param0 0 candidate(s), 0 submittable, 6 tests, 17 compiles  [1.2s]
  chunk_inplace__bind_global0 0 candidate(s), 0 submittable, 6 tests, 21 compiles  [3.2s]
  chunk_inplace__bind_closure0 0 candidate(s), 0 submittable, 5 tests, 17 compiles  [2.7s]
  chunk_inplace__bind_attribute0 0 candidate(s), 0 submittable, 6 tests, 21 compiles  [2.5s]
  chunk_inplace__bind_list_elem0 0 candidate(s), 0 submittable, 6 tests, 21 compiles  [2.5s]
  chunk_inplace__bind_dict_elem0 0 candidate(s), 0 submittable, 6 tests, 21 compiles  [2.5s]
  chunk_inplace__bind_default_param0 0 candidate(s), 0 submittable, 6 tests, 21 compiles  [2.9s]
  chunk_inplace__bind_pos_param0 0 candidate(s), 0 submittable, 6 tests, 21 compiles  [2.9s]
  requires_grad_switch__bind_global0 0 candidate(s), 0 submittable, 5 tests, 17 compiles  [10.1s]
  requires_grad_switch__bind_closure0 0 candidate(s), 0 submittable, 5 tests, 17 compiles  [2.7s]
  requires_grad_switch__bind_attribute0 0 candidate(s), 0 submittable, 5 tests, 17 compiles  [2.8s]
  requires_grad_switch__bind_list_elem0 0 candidate(s), 0 submittable, 5 tests, 17 compiles  [2.8s]
  requires_grad_switch__bind_dict_elem0 0 candidate(s), 0 submittable, 5 tests, 17 compiles  [3.1s]
  requires_grad_switch__bind_default_param0 0 candidate(s), 0 submittable, 5 tests, 17 compiles  [2.8s]
  requires_grad_switch__bind_pos_param0 0 candidate(s), 0 submittable, 5 tests, 17 compiles  [3.2s]
  closure_fn__bind_global0 0 candidate(s), 0 submittable, 6 tests, 21 compiles  [1.9s]
  closure_fn__bind_closure0 0 candidate(s), 0 submittable, 6 tests, 21 compiles  [1.9s]
  closure_fn__bind_attribute0 0 candidate(s), 0 submittable, 6 tests, 21 compiles  [1.9s]
  closure_fn__bind_list_elem0 0 candidate(s), 0 submittable, 6 tests, 21 compiles  [1.9s]
  closure_fn__bind_dict_elem0 0 candidate(s), 0 submittable, 6 tests, 21 compiles  [1.9s]
  closure_fn__bind_default_param0 0 candidate(s), 0 submittable, 6 tests, 21 compiles  [2.5s]
  closure_fn__bind_pos_param0 0 candidate(s), 0 submittable, 6 tests, 21 compiles  [2.1s]
  reshape_dim__bind_global0 0 candidate(s), 0 submittable, 6 tests, 21 compiles  [2.3s]
  reshape_dim__bind_closure0 0 candidate(s), 0 submittable, 6 tests, 21 compiles  [2.0s]
  reshape_dim__bind_attribute0 0 candidate(s), 0 submittable, 6 tests, 21 compiles  [1.8s]
  reshape_dim__bind_list_elem0 0 candidate(s), 0 submittable, 6 tests, 21 compiles  [1.6s]
  reshape_dim__bind_dict_elem0 0 candidate(s), 0 submittable, 6 tests, 21 compiles  [1.8s]
  reshape_dim__bind_default_param0 0 candidate(s), 0 submittable, 6 tests, 21 compiles  [2.3s]
  reshape_dim__bind_pos_param0 0 candidate(s), 0 submittable, 6 tests, 21 compiles  [2.2s]
  loop_bound__bind_global0 0 candidate(s), 0 submittable, 6 tests, 13 compiles  [1.5s]
