[isolate] 138 items to run (0 already done)
  [9/138] i:mod_sym_neg: CRASH rc=3221225620 (9s)
  [10/138] i:divmod_neg (20s, total 156s)
  [20/138] i:round_half_neg (15s, total 274s)
  [30/138] i:pow_neg_exp (43s, total 430s)
  [40/138] i:lshift (16s, total 564s)
  [50/138] i:min_sym (12s, total 704s)
  [60/138] i:int_of_float_mul (12s, total 852s)
  [70/138] i:div_zero (5s, total 1066s)
  [80/138] i:gcd (7s, total 1210s)
  [90/138] f:mod1 (37s, total 1489s)
  [93/138] f:divmod2 (72s, total 1637s)
  [100/138] f:max_rev (9s, total 1786s)
  [101/138] f:isnan (61s, total 1847s)
  [110/138] f:int_times (28s, total 1977s)
  [120/138] k:mod3 (14s, total 2229s)
  [130/138] k:round_half (14s, total 2369s)
[isolate] finished in 2473s
