[isolate] 252 items to run (0 already done)
  [10/252] __rsub__ (5s, total 45s)
  [20/252] atan2 (5s, total 93s)
  [30/252] cat (6s, total 141s)
  [40/252] diagonal (5s, total 196s)
  [50/252] eye (5s, total 241s)
  [60/252] fft.ihfft (4s, total 287s)
  [70/252] flipud (5s, total 333s)
  [80/252] geometric (5s, total 381s)
  [90/252] index_add (11s, total 437s)
  [100/252] lcm (5s, total 502s)
  [110/252] logical_and (5s, total 553s)
  [120/252] maximum (5s, total 605s)
  [130/252] native_layer_norm (5s, total 656s)
  [140/252] nn.functional.avg_pool1d (5s, total 710s)
  [150/252] nn.functional.embedding_bag (5s, total 769s)
  [160/252] nn.functional.layer_norm (5s, total 816s)
  [170/252] nn.functional.multilabel_margin_loss (5s, total 874s)
  [180/252] nn.functional.softshrink (5s, total 936s)
  [190/252] repeat_interleave (5s, total 985s)
  [200/252] select (5s, total 1048s)
  [210/252] signal.windows.kaiser (7s, total 1096s)
  [220/252] special.shifted_chebyshev_polynomial_t (5s, total 1145s)
  [230/252] sum_to_size (5s, total 1195s)
  [240/252] true_divide (4s, total 1257s)
  [250/252] vstack (5s, total 1308s)
[isolate] finished in 1317s
