torch 2.14.0+cpu: 603 pairs in shard 1/2, 603 to do
[1/603] ok             abs int64 (1s, total 1s)
[2/603] ok             acos int64 (1s, total 2s)
[3/603] ok             acosh float32 (1s, total 3s)
[4/603] ok             acosh bool (1s, total 4s)
[5/603] ok             add int64 (1s, total 5s)
[6/603] ok             item float32 (1s, total 6s)
[7/603] ok             item bool (1s, total 7s)
[8/603] ok             arange int64 (0s, total 7s)
[9/603] ok             clamp_max int64 (1s, total 8s)
[10/603] ok             clamp_min float32 (1s, total 8s)
[11/603] ok             clamp_min bool (1s, total 9s)
[12/603] ok             mul int64 (1s, total 10s)
[13/603] ok             sub float32 (1s, total 11s)
[14/603] ok             addmm float32 (1s, total 12s)
[15/603] ok             addmm float32 (1s, total 12s)
[16/603] ok             addmv float32 (1s, total 13s)
[17/603] ok             addbmm float32 (1s, total 14s)
[18/603] ok             baddbmm float32 (1s, total 15s)
[19/603] ok             dot float32 (0s, total 15s)
[20/603] ok             vdot float32 (0s, total 15s)
[21/603] ok             bmm float32 (0s, total 15s)
[22/603] ok             mv float32 (0s, total 16s)
[23/603] ok             addr float32 (1s, total 16s)
[24/603] ok             addr bool (1s, total 17s)
[25/603] ok             addcmul int64 (1s, total 18s)
[26/603] ok             asin float32 (0s, total 18s)
[27/603] ok             asin bool (0s, total 18s)
[28/603] ok             asinh int64 (0s, total 18s)
[29/603] ok             atan float32 (0s, total 18s)
[30/603] ok             atan bool (0s, total 19s)
[31/603] ok             atan2 int64 (1s, total 19s)
[32/603] ok             atanh float32 (0s, total 20s)
[33/603] ok             atanh bool (0s, total 20s)
[34/603] ok             broadcast_to float32 (0s, total 20s)
[35/603] ok             broadcast_to bool (0s, total 20s)
[36/603] ok             broadcast_tensors float32 (0s, total 20s)
[37/603] ok             broadcast_tensors bool (0s, total 20s)
[38/603] ok             block_diag int64 (1s, total 21s)
[39/603] ok             bitwise_not int64 (1s, total 22s)
[40/603] ok             bitwise_left_shift int64 (1s, total 23s)
[41/603] ok             combinations float32 (1s, total 24s)
[42/603] ok             combinations bool (1s, total 24s)
[43/603] ok             cartesian_prod int64 (1s, total 25s)
[44/603] ok             cdist float32 (0s, total 25s)
[45/603] ok             ceil int64 (0s, total 25s)
[46/603] ok             chunk int64 (0s, total 25s)
[47/603] ok             unsafe_chunk float32 (0s, total 25s)
[48/603] ok             unsafe_chunk bool (0s, total 25s)
[49/603] ok             clone int64 (1s, total 26s)
[50/603] ok             contiguous float32 (0s, total 26s)
[51/603] ok             contiguous bool (0s, total 27s)
[52/603] ok             sum_to_size int64 (0s, total 27s)
[53/603] ok             clamp float32 (1s, total 28s)
[54/603] ok             positive float32 (0s, total 28s)
[55/603] ok             conj float32 (1s, total 28s)
[56/603] ok             conj bool (1s, total 29s)
[57/603] ok             conj_physical int64 (0s, total 29s)
[58/603] ok             view_as_complex float32 (0s, total 29s)
[59/603] ok             copysign float32 (1s, total 30s)
[60/603] ok             copysign bool (1s, total 31s)
[61/603] ok             corrcoef int64 (0s, total 31s)
[62/603] ok             cos int64 (1s, total 31s)
[63/603] ok             cosh float32 (1s, total 32s)
[64/603] ok             cosh bool (1s, total 33s)
[65/603] ok             cov int64 (0s, total 33s)
[66/603] ok             cross int64 (1s, total 34s)
[67/603] ok             cumsum int64 (0s, total 34s)
[68/603] ok             cumprod int64 (0s, total 34s)
[69/603] ok             cummax int64 (0s, total 34s)
[70/603] ok             cummin float32 (0s, total 34s)
[71/603] ok             cummin bool (0s, total 34s)
[72/603] ok             deg2rad int64 (0s, total 34s)
[73/603] ok             diff float32 (0s, total 34s)
[74/603] ok             diff bool (0s, total 34s)
[75/603] ok             div int64 (1s, total 35s)
[76/603] ok             div float32 (1s, total 36s)
[77/603] ok             div float32 (1s, total 37s)
[78/603] ok             true_divide float32 (1s, total 37s)
[79/603] ok             true_divide bool (1s, total 38s)
[80/603] ok             equal int64 (0s, total 38s)
[81/603] ok             exp float32 (1s, total 39s)
[82/603] ok             exp bool (1s, total 40s)
[83/603] ok             expand int64 (0s, total 40s)
[84/603] ok             expand_as float32 (1s, total 40s)
[85/603] ok             expand_as bool (1s, total 41s)
[86/603] ok             expand_copy int64 (0s, total 41s)
[87/603] ok             diag float32 (0s, total 41s)
[88/603] ok             diag bool (1s, total 42s)
[89/603] ok             diag_embed int64 (1s, total 43s)
[90/603] ok             diagonal float32 (1s, total 43s)
[91/603] ok             diagonal bool (1s, total 44s)
[92/603] ok             diagonal_copy int64 (1s, total 45s)
[93/603] ok             diagonal_scatter float32 (0s, total 45s)
[94/603] ok             diagonal_scatter bool (0s, total 45s)
[95/603] ok             alias_copy int64 (1s, total 46s)
[96/603] ok             eq float32 (1s, total 46s)
[97/603] ok             eq bool (1s, total 47s)
[98/603] ok             fmax int64 (1s, total 48s)
[99/603] ok             fmin float32 (1s, total 48s)
[100/603] ok             fmin bool (1s, total 49s)
[101/603] ok             fmod int64 (1s, total 50s)
[102/603] ok             remainder int64 (1s, total 50s)
[103/603] ok             floor float32 (0s, total 51s)
[104/603] ok             flip float32 (1s, total 51s)
[105/603] ok             flip bool (1s, total 52s)
[106/603] ok             fliplr int64 (0s, total 53s)
[107/603] ok             flipud float32 (0s, total 53s)
[108/603] ok             flipud bool (1s, total 53s)
[109/603] ok             sparse.mm float32 (0s, total 53s)
[110/603] ok             i0 int64 (0s, total 54s)
[111/603] ok             floor_divide float32 (1s, total 54s)
[112/603] ok             frexp float32 (1s, total 55s)
[113/603] ok             log1p int64 (0s, total 55s)
[114/603] ok             ge float32 (1s, total 56s)
[115/603] ok             ge bool (1s, total 57s)
[116/603] ok             gt int64 (1s, total 57s)
[117/603] ok             gradient float32 (1s, total 58s)
[118/603] ok             isin float32 (0s, total 59s)
[119/603] ok             le float32 (1s, total 60s)
[120/603] ok             le bool (1s, total 60s)
[121/603] ok             linspace int64 (0s, total 60s)
[122/603] ok             linspace int64 (0s, total 60s)
[123/603] ok             logspace int64 (0s, total 60s)
[124/603] ok             logspace int64 (0s, total 60s)
[125/603] ok             log int64 (1s, total 61s)
[126/603] ok             log10 float32 (1s, total 62s)
[127/603] ok             log10 bool (1s, total 62s)
[128/603] ok             log2 int64 (1s, total 63s)
[129/603] ok             ldexp float32 (1s, total 64s)
[130/603] ok             ldexp bool (1s, total 64s)
[131/603] ok             logaddexp2 float32 (0s, total 64s)
[132/603] ok             logical_not int64 (1s, total 65s)
[133/603] ok             lt float32 (1s, total 66s)
[134/603] ok             lt bool (1s, total 67s)
[135/603] ok             masked_fill int64 (0s, total 67s)
[136/603] ok             masked_scatter float32 (1s, total 68s)
[137/603] ok             masked_scatter bool (1s, total 68s)
[138/603] ok             matmul float32 (1s, total 69s)
[139/603] ok             max float32 (0s, total 69s)
[140/603] ok             max bool (0s, total 69s)
[141/603] ok             max int64 (0s, total 70s)
[142/603] ok             var_mean float32 (1s, total 71s)
[143/603] DIFF:VALUE[decomposed] std_mean float32 (1s, total 71s)
[144/603] ok             meshgrid float32 (1s, total 72s)
[145/603] ok             meshgrid bool (1s, total 73s)
[146/603] ok             meshgrid int64 (0s, total 73s)
[147/603] ok             min float32 (0s, total 73s)
[148/603] ok             min bool (0s, total 73s)
[149/603] ok             min int64 (1s, total 73s)
[150/603] ok             quantile float32 (0s, total 73s)
[151/603] ok             max float32 (1s, total 74s)
[152/603] ok             max bool (1s, total 75s)
[153/603] ok             maximum int64 (1s, total 75s)
[154/603] ok             min float32 (1s, total 76s)
[155/603] ok             min bool (1s, total 77s)
[156/603] ok             minimum int64 (1s, total 77s)
[157/603] ok             logical_and float32 (1s, total 78s)
[158/603] ok             logical_and bool (1s, total 79s)
[159/603] ok             logical_or int64 (1s, total 79s)
[160/603] ok             logical_xor float32 (1s, total 80s)
[161/603] ok             logical_xor bool (1s, total 81s)
[162/603] ok             bitwise_and bool (1s, total 81s)
[163/603] ok             bitwise_or bool (1s, total 82s)
[164/603] ok             bitwise_xor bool (1s, total 83s)
[165/603] ok             heaviside int64 (1s, total 84s)
[166/603] ok             lcm int64 (1s, total 85s)
[167/603] ok             isclose float32 (1s, total 86s)
[168/603] ok             isclose bool (1s, total 86s)
[169/603] ok             softmax float32 (0s, total 86s)
[170/603] ok             softmax bool (0s, total 86s)
[171/603] ok             nn.functional.softmin float32 (0s, total 86s)
[172/603] ok             nn.functional.softmin int64 (0s, total 86s)
[173/603] ok             nn.functional.linear_cross_entropy float32 (1s, total 88s)
[174/603] ok             nn.functional.linear_cross_entropy float32 (1s, total 89s)
[175/603] ok             aminmax int64 (1s, total 90s)
[176/603] ok             as_strided float32 (0s, total 90s)
[177/603] ok             as_strided bool (0s, total 90s)
[178/603] ok             as_strided int64 (0s, total 90s)
[179/603] ok             as_strided_copy float32 (0s, total 90s)
[180/603] ok             as_strided_copy bool (0s, total 90s)
[181/603] ok             as_strided_scatter int64 (0s, total 90s)
[182/603] ok             native_group_norm float32 (0s, total 90s)
[183/603] ok             native_batch_norm float32 (0s, total 90s)
[184/603] ok             _batch_norm_with_update float32 (0s, total 90s)
[185/603] ok             nn.functional.adaptive_avg_pool1d float32 (0s, total 90s)
[186/603] ok             nn.functional.adaptive_avg_pool3d float32 (0s, total 90s)
[187/603] ok             nn.functional.adaptive_max_pool2d float32 (0s, total 90s)
[188/603] ok             nn.functional.avg_pool1d float32 (0s, total 90s)
[189/603] ok             nn.functional.avg_pool3d float32 (0s, total 90s)
[190/603] ok             nn.functional.binary_cross_entropy_with_logits float32 (1s, total 91s)
[191/603] ok             nn.functional.conv_transpose1d int64 (1s, total 92s)
[192/603] ok             nn.functional.conv_transpose2d int64 (1s, total 93s)
[193/603] ok             nn.functional.conv_transpose3d int64 (1s, total 94s)
[194/603] ok             nn.functional.conv1d int64 (1s, total 95s)
[195/603] ok             nn.functional.conv2d int64 (1s, total 96s)
[196/603] ok             nn.functional.conv3d int64 (1s, total 97s)
[197/603] ok             nn.functional.instance_norm float32 (1s, total 98s)
[198/603] ok             nn.functional.rms_norm float32 (0s, total 98s)
[199/603] ok             nn.functional.local_response_norm int64 (0s, total 98s)
[200/603] ok             constant_pad_nd int64 (0s, total 98s)
[201/603] ok             nn.functional.pad float32 (0s, total 98s)
[202/603] ok             nn.functional.pad bool (0s, total 98s)
[203/603] ok             nn.functional.pad int64 (0s, total 98s)
[204/603] ok             nn.functional.pad int64 (0s, total 98s)
[205/603] ok             nn.functional.pad int64 (0s, total 98s)
[206/603] ok             nn.functional.pad int64 (0s, total 98s)
[207/603] ok             nn.functional.hardswish float32 (1s, total 99s)
[208/603] ok             nn.functional.unfold bool (0s, total 99s)
[209/603] ok             nn.functional.soft_margin_loss float32 (1s, total 101s)
[210/603] ok             nn.functional.margin_ranking_loss int64 (1s, total 101s)
[211/603] DIFF:VALUE[decomposed] nn.functional.multilabel_margin_loss float32 (1s, total 102s)
[212/603] ok             nn.functional.avg_pool2d float32 (0s, total 102s)
[213/603] ok             nn.functional.max_pool1d float32 (1s, total 104s)
[214/603] ok             nn.functional.max_pool2d int64 (1s, total 105s)
[215/603] ok             nn.functional.max_pool3d float32 (1s, total 106s)
[216/603] ok             nn.functional.linear float32 (1s, total 106s)
[217/603] ok             nn.functional.bilinear float32 (1s, total 107s)
[218/603] ok             torch.ops.aten._safe_softmax.default float32 (1s, total 108s)
[219/603] ok             torch.ops.aten._safe_softmax.default bool (1s, total 109s)
[220/603] DIFF:VALUE[decomposed] torch.ops.aten._scaled_dot_product_flash_attention_for_cpu float32 (1s, total 110s)
[221/603] ok             nn.functional.logsigmoid float32 (1s, total 111s)
[222/603] ok             nn.functional.softsign float32 (1s, total 112s)
[223/603] ok             nn.functional.tanhshrink float32 (1s, total 113s)
[224/603] ok             nn.functional.threshold float32 (0s, total 113s)
[225/603] ok             nn.functional.triplet_margin_loss float32 (1s, total 113s)
[226/603] ok             nn.functional.triplet_margin_with_distance_loss float32 (1s, total 114s)
[227/603] ok             nextafter float32 (1s, total 115s)
[228/603] ok             to int64 (0s, total 115s)
[229/603] ok             nn.functional.batch_norm float32 (1s, total 116s)
[230/603] ok             igamma float32 (1s, total 117s)
[231/603] DIFF:SIGNZERO[decomposed] nn.functional.softshrink float32 (1s, total 118s)
[232/603] ok             nn.functional.hardtanh float32 (1s, total 118s)
[233/603] ok             mm float32 (1s, total 119s)
[234/603] ok             mvlgamma float32 (0s, total 119s)
[235/603] ok             mvlgamma float32 (0s, total 119s)
[236/603] ok             mvlgamma float32 (0s, total 119s)
[237/603] ok             ne float32 (1s, total 120s)
[238/603] ok             ne bool (1s, total 120s)
[239/603] ok             narrow int64 (0s, total 120s)
[240/603] ok             narrow_copy float32 (0s, total 121s)
[241/603] ok             narrow_copy bool (0s, total 121s)
[242/603] ok             view_copy int64 (0s, total 121s)
[243/603] ok             neg float32 (0s, total 121s)
[244/603] ok             dist float32 (0s, total 121s)
[245/603] ok             outer int64 (0s, total 121s)
[246/603] ok             permute float32 (0s, total 121s)
[247/603] ok             permute bool (0s, total 121s)
[248/603] ok             permute_copy int64 (0s, total 121s)
[249/603] ok             pow float32 (1s, total 122s)
[250/603] ok             float_power float32 (1s, total 123s)
[251/603] ok             float_power bool (1s, total 123s)
[252/603] ok             rad2deg int64 (0s, total 124s)
[253/603] ok             real float32 (1s, total 124s)
[254/603] ok             real bool (1s, total 125s)
[255/603] ok             roll int64 (0s, total 125s)
[256/603] ok             rot90 float32 (0s, total 125s)
[257/603] ok             rot90 bool (0s, total 126s)
[258/603] ok             round int64 (0s, total 126s)
[259/603] ok             round float32 (1s, total 127s)
[260/603] ok             sin float32 (0s, total 127s)
[261/603] ok             sin bool (0s, total 127s)
[262/603] ok             sinc int64 (1s, total 128s)
[263/603] ok             sinh float32 (0s, total 129s)
[264/603] ok             sinh bool (0s, total 129s)
[265/603] ok             sign int64 (0s, total 129s)
[266/603] ok             sgn float32 (0s, total 130s)
[267/603] ok             sgn bool (0s, total 130s)
[268/603] ok             split int64 (0s, total 130s)
[269/603] ok             split float32 (0s, total 130s)
[270/603] ok             split bool (0s, total 130s)
[271/603] ok             unsafe_split int64 (0s, total 130s)
[272/603] ok             split_with_sizes float32 (0s, total 130s)
[273/603] ok             split_with_sizes bool (0s, total 130s)
[274/603] ok             split_with_sizes_copy int64 (0s, total 130s)
[275/603] ok             __radd__ float32 (1s, total 131s)
[276/603] ok             __radd__ bool (1s, total 131s)
[277/603] ok             __rdiv__ int64 (1s, total 132s)
[278/603] ok             __rmul__ float32 (1s, total 133s)
[279/603] ok             __rmul__ bool (1s, total 134s)
[280/603] ok             __ror__ bool (1s, total 135s)
[281/603] ok             __rxor__ bool (1s, total 136s)
[282/603] ok             __rmatmul__ int64 (1s, total 136s)
[283/603] ok             __rmod__ int64 (1s, total 137s)
[284/603] ok             __rpow__ int64 (1s, total 138s)
[285/603] ok             __rsub__ int64 (1s, total 139s)
[286/603] ok             rsub int64 (1s, total 140s)
[287/603] ok             select int64 (0s, total 140s)
[288/603] ok             select_scatter float32 (0s, total 140s)
[289/603] ok             select_scatter bool (0s, total 140s)
[290/603] ok             slice int64 (1s, total 140s)
[291/603] ok             slice_scatter float32 (0s, total 140s)
[292/603] ok             slice_scatter bool (0s, total 140s)
[293/603] ok             signbit int64 (0s, total 140s)
[294/603] ok             tan float32 (0s, total 141s)
[295/603] ok             tan bool (0s, total 141s)
[296/603] ok             tanh int64 (0s, total 141s)
[297/603] ok             tensor_split float32 (1s, total 142s)
[298/603] ok             tensor_split bool (1s, total 143s)
[299/603] ok             hsplit int64 (0s, total 143s)
[300/603] ok             vsplit float32 (0s, total 143s)
[301/603] ok             vsplit bool (0s, total 143s)
[302/603] ok             dsplit int64 (0s, total 143s)
[303/603] ok             trunc float32 (0s, total 143s)
[304/603] ok             exp2 float32 (1s, total 144s)
[305/603] ok             exp2 bool (1s, total 146s)
[306/603] ok             expm1 int64 (0s, total 146s)
[307/603] ok             nan_to_num float32 (1s, total 147s)
[308/603] ok             nan_to_num bool (1s, total 148s)
[309/603] ok             reciprocal int64 (1s, total 150s)
[310/603] ok             square float32 (2s, total 151s)
[311/603] ok             square bool (2s, total 153s)
[312/603] ok             angle float32 (1s, total 154s)
[313/603] ok             angle bool (1s, total 155s)
[314/603] ok             isfinite int64 (2s, total 157s)
[315/603] ok             isinf float32 (1s, total 157s)
[316/603] ok             isinf bool (1s, total 158s)
[317/603] ok             isposinf int64 (1s, total 159s)
[318/603] ok             isneginf float32 (1s, total 159s)
[319/603] ok             isneginf bool (0s, total 160s)
[320/603] ok             isreal int64 (1s, total 160s)
[321/603] ok             isnan float32 (0s, total 161s)
[322/603] ok             isnan bool (0s, total 161s)
[323/603] ok             einsum int64 (0s, total 161s)
[324/603] ok             polar float32 (1s, total 162s)
[325/603] ok             polygamma int64 (0s, total 162s)
[326/603] ok             polygamma float32 (0s, total 162s)
[327/603] ok             polygamma bool (0s, total 162s)
[328/603] ok             polygamma int64 (0s, total 162s)
[329/603] ok             polygamma float32 (0s, total 162s)
[330/603] ok             polygamma bool (0s, total 162s)
[331/603] ok             polygamma int64 (0s, total 162s)
[332/603] ok             ravel float32 (1s, total 163s)
[333/603] ok             ravel bool (1s, total 163s)
[334/603] ok             reshape float32 (0s, total 163s)
[335/603] ok             reshape bool (0s, total 163s)
[336/603] ok             reshape_as int64 (1s, total 164s)
[337/603] ok             view float32 (0s, total 164s)
[338/603] ok             view bool (0s, total 164s)
[339/603] ok             view_as int64 (1s, total 165s)
[340/603] ok             atleast_1d float32 (1s, total 166s)
[341/603] ok             atleast_1d bool (1s, total 167s)
[342/603] ok             atleast_2d int64 (2s, total 169s)
[343/603] ok             atleast_3d float32 (2s, total 171s)
[344/603] ok             atleast_3d bool (2s, total 173s)
[345/603] ok             flatten int64 (2s, total 176s)
[346/603] ok             unflatten float32 (0s, total 176s)
[347/603] ok             unflatten bool (0s, total 176s)
[348/603] ok             gather int64 (0s, total 176s)
[349/603] ok             index_fill float32 (0s, total 176s)
[350/603] ok             index_fill bool (0s, total 176s)
[351/603] ok             index_copy int64 (0s, total 176s)
[352/603] ok             index_select float32 (0s, total 176s)
[353/603] ok             index_select bool (0s, total 176s)
[354/603] ok             index_add int64 (0s, total 176s)
[355/603] ok             __getitem__ float32 (0s, total 176s)
[356/603] ok             __getitem__ bool (0s, total 176s)
[357/603] ok             index_put int64 (0s, total 176s)
[358/603] ok             put float32 (0s, total 176s)
[359/603] ok             put bool (0s, total 176s)
[360/603] ok             take int64 (2s, total 178s)
[361/603] ok             scatter float32 (0s, total 178s)
[362/603] ok             scatter bool (0s, total 178s)
[363/603] ok             bfloat16 int64 (2s, total 181s)
[364/603] ok             bool float32 (2s, total 183s)
[365/603] ok             bool bool (2s, total 185s)
[366/603] ok             byte int64 (2s, total 187s)
[367/603] ok             char float32 (2s, total 189s)
[368/603] ok             char bool (2s, total 192s)
[369/603] ok             double int64 (2s, total 193s)
[370/603] ok             float float32 (2s, total 195s)
[371/603] ok             float bool (2s, total 197s)
[372/603] ok             half int64 (2s, total 200s)
[373/603] ok             int float32 (1s, total 201s)
[374/603] ok             int bool (2s, total 203s)
[375/603] ok             long int64 (2s, total 205s)
[376/603] ok             short float32 (1s, total 206s)
[377/603] ok             short bool (2s, total 208s)
[378/603] ok             cdouble int64 (2s, total 211s)
[379/603] ok             cfloat float32 (2s, total 213s)
[380/603] ok             cfloat bool (2s, total 215s)
[381/603] ok             chalf int64 (2s, total 217s)
[382/603] ok             zeros_like float32 (2s, total 218s)
[383/603] ok             zeros_like bool (2s, total 221s)
[384/603] ok             ones_like int64 (2s, total 223s)
[385/603] ok             full_like float32 (0s, total 223s)
[386/603] ok             full_like bool (0s, total 223s)
[387/603] ok             new_zeros int64 (0s, total 223s)
[388/603] ok             new_ones float32 (0s, total 223s)
[389/603] ok             new_ones bool (0s, total 223s)
[390/603] ok             ones int64 (0s, total 223s)
[391/603] ok             zeros float32 (0s, total 223s)
[392/603] ok             zeros bool (0s, total 223s)
[393/603] ok             full int64 (0s, total 223s)
[394/603] ok             eye float32 (0s, total 223s)
[395/603] ok             eye bool (0s, total 223s)
[396/603] ok             scalar_tensor int64 (0s, total 223s)
[397/603] ok             new_full float32 (0s, total 223s)
[398/603] ok             new_full bool (0s, total 223s)
[399/603] ok             scatter_add int64 (0s, total 223s)
[400/603] ok             stack float32 (0s, total 223s)
[401/603] ok             stack bool (0s, total 223s)
[402/603] ok             hstack int64 (0s, total 223s)
[403/603] ok             hypot float32 (2s, total 225s)
[404/603] ok             bincount int64 (2s, total 227s)
[405/603] ok             cat int64 (0s, total 227s)
[406/603] ok             unbind float32 (0s, total 227s)
[407/603] ok             unbind bool (0s, total 227s)
[408/603] ok             unbind_copy int64 (0s, total 227s)
[409/603] ok             vstack float32 (0s, total 227s)
[410/603] ok             vstack bool (0s, total 227s)
[411/603] ok             dstack int64 (0s, total 227s)
[412/603] ok             unfold float32 (0s, total 227s)
[413/603] ok             unfold bool (0s, total 227s)
[414/603] ok             unfold_copy int64 (0s, total 227s)
[415/603] ok             movedim float32 (0s, total 227s)
[416/603] ok             movedim bool (0s, total 227s)
[417/603] ok             repeat float32 (0s, total 227s)
[418/603] ok             repeat bool (0s, total 227s)
[419/603] ok             squeeze int64 (1s, total 228s)
[420/603] ok             squeeze float32 (0s, total 228s)
[421/603] ok             squeeze bool (0s, total 228s)
[422/603] ok             squeeze_copy int64 (1s, total 230s)
[423/603] ok             fill float32 (2s, total 232s)
[424/603] ok             fill bool (2s, total 233s)
[425/603] ok             take_along_dim int64 (0s, total 233s)
[426/603] ok             tile float32 (0s, total 233s)
[427/603] ok             tile bool (0s, total 233s)
[428/603] ok             trapz int64 (2s, total 236s)
[429/603] ok             trapezoid int64 (2s, total 238s)
[430/603] ok             cumulative_trapezoid int64 (2s, total 240s)
[431/603] ok             unsqueeze int64 (0s, total 240s)
[432/603] ok             unsqueeze_copy float32 (0s, total 240s)
[433/603] ok             unsqueeze_copy bool (0s, total 240s)
[434/603] ok             xlogy int64 (2s, total 242s)
[435/603] ok             zero_ float32 (2s, total 244s)
[436/603] ok             zero_ bool (2s, total 246s)
[437/603] ok             logsumexp int64 (0s, total 246s)
[438/603] ok             trace float32 (2s, total 248s)
[439/603] ok             transpose float32 (0s, total 248s)
[440/603] ok             transpose bool (0s, total 248s)
[441/603] ok             transpose_copy int64 (0s, total 248s)
[442/603] ok             T float32 (1s, total 249s)
[443/603] ok             T bool (1s, total 251s)
[444/603] ok             H int64 (1s, total 252s)
[445/603] ok             mT float32 (2s, total 254s)
[446/603] ok             mT bool (2s, total 256s)
[447/603] ok             mH int64 (2s, total 258s)
[448/603] ok             tril float32 (2s, total 260s)
[449/603] ok             tril bool (1s, total 261s)
[450/603] ok             triu int64 (1s, total 262s)
[451/603] ok             triu_indices int64 (0s, total 262s)
[452/603] ok             kron float32 (1s, total 263s)
[453/603] ok             kron bool (1s, total 264s)
[454/603] ok             inner int64 (1s, total 265s)
[455/603] ok             tensordot int64 (3s, total 268s)
[456/603] TOOL_ERROR     to_sparse int64 (0s, total 268s)
[457/603] ok             logcumsumexp float32 (0s, total 268s)
[458/603] ok             sigmoid int64 (2s, total 270s)
[459/603] ok             digamma float32 (2s, total 272s)
[460/603] ok             digamma bool (2s, total 274s)
[461/603] ok             erf int64 (1s, total 275s)
[462/603] ok             erfc float32 (2s, total 276s)
[463/603] ok             erfc bool (2s, total 279s)
[464/603] ok             erfinv int64 (0s, total 279s)
[465/603] ok             nn.functional.smooth_l1_loss float32 (2s, total 281s)
[466/603] ok             lgamma float32 (2s, total 283s)
[467/603] ok             lgamma bool (2s, total 285s)
[468/603] ok             log_softmax float32 (0s, total 285s)
[469/603] ok             log_softmax bool (0s, total 285s)
[470/603] ok             logit int64 (1s, total 287s)
[471/603] ok             where float32 (1s, total 288s)
[472/603] ok             where bool (2s, total 290s)
[473/603] ok             jiterator_unary int64 (0s, total 290s)
[474/603] ok             jiterator_binary float32 (0s, total 290s)
[475/603] ok             jiterator_binary bool (0s, total 291s)
[476/603] ok             jiterator_4inputs_with_extra_args int64 (0s, total 291s)
[477/603] ok             jiterator_binary_return_by_ref float32 (0s, total 291s)
[478/603] ok             jiterator_binary_return_by_ref bool (0s, total 291s)
[479/603] ok             jiterator_2inputs_2outputs int64 (0s, total 291s)
[480/603] ok             norm float32 (0s, total 291s)
[481/603] ok             norm float32 (1s, total 292s)
[482/603] ok             t float32 (2s, total 293s)
[483/603] ok             t bool (2s, total 296s)
[484/603] ok             t_copy int64 (1s, total 297s)
[485/603] ok             nn.functional.one_hot int64 (1s, total 297s)
[486/603] ok             nn.functional.multi_head_attention_forward float32 (0s, total 297s)
[487/603] ok             grid_sampler_2d float32 (0s, total 297s)
[488/603] ok             all float32 (2s, total 299s)
[489/603] ok             all bool (2s, total 302s)
[490/603] ok             any int64 (2s, total 304s)
[491/603] ok             amax float32 (2s, total 306s)
[492/603] ok             amax bool (2s, total 308s)
[493/603] ok             amin int64 (2s, total 309s)
[494/603] ok             argmax float32 (2s, total 312s)
[495/603] ok             argmin float32 (2s, total 313s)
[496/603] ok             mean float32 (2s, total 315s)
[497/603] DIFF:VALUE[decomposed] std float32 (2s, total 317s)
[498/603] ok             var float32 (2s, total 319s)
[499/603] ok             prod float32 (1s, total 321s)
[500/603] ok             prod bool (1s, total 322s)
[501/603] ok             sum int64 (2s, total 324s)
[502/603] ok             nansum float32 (2s, total 326s)
[503/603] ok             nansum bool (2s, total 328s)
