[isolate] 261 items to run (0 already done)
  [5/261] int_binary:div_trunc: CRASH rc=3221225621 (34s)
  [10/261] int_binary:pow (20s, total 380s)
  [11/261] int_binary:lshift (64s, total 444s)
  [12/261] int_binary:rshift (65s, total 509s)
  [13/261] int_binary:and (72s, total 581s)
  [14/261] int_binary:or (79s, total 660s)
  [15/261] int_binary:xor (82s, total 743s)
  [16/261] int_binary:maximum (81s, total 824s)
  [17/261] int_binary:minimum (71s, total 895s)
  [19/261] int_binary:lcm: CRASH rc=3221225621 (59s)
  [20/261] int_binary:lt (77s, total 1051s)
  [21/261] int_binary:eq (69s, total 1120s)
  [22/261] int_binary:where_lt (66s, total 1187s)
  [23/261] int_binary:abs_diff (67s, total 1254s)
  [24/261] int_binary:mul_add (68s, total 1322s)
  [28/261] int_unary:abs (67s, total 1479s)
  [29/261] int_unary:sign (67s, total 1546s)
  [30/261] int_unary:sgn (17s, total 1563s)
  [31/261] int_unary:bitwise_not (64s, total 1627s)
  [32/261] int_unary:square (62s, total 1688s)
  [34/261] int_unary:add_scalar (62s, total 1769s)
  [35/261] int_unary:sub_scalar (64s, total 1833s)
  [36/261] int_unary:mul_scalar (67s, total 1900s)
  [37/261] int_unary:mul_neg1 (77s, total 1977s)
  [38/261] int_unary:floordiv_neg1 (69s, total 2046s)
  [39/261] int_unary:floordiv_3 (67s, total 2114s)
  [40/261] int_unary:floordiv_neg3 (60s, total 2174s)
  [41/261] int_unary:mod_3 (61s, total 2234s)
  [42/261] int_unary:mod_neg3 (64s, total 2298s)
  [43/261] int_unary:fmod_neg3 (61s, total 2359s)
  [49/261] int_unary:pow_3 (68s, total 2666s)
  [50/261] int_unary:pow_0 (60s, total 2726s)
  [51/261] int_unary:to_float_back (60s, total 2786s)
  [52/261] int_unary:to_double_back (62s, total 2848s)
  [56/261] int_unary:to_bool (63s, total 3068s)
  [57/261] int_unary:to_half (63s, total 3132s)
  [58/261] int_unary:sum (66s, total 3198s)
  [60/261] int_unary:cumsum (21s, total 3272s)
  [62/261] int_unary:sum_same_dtype (61s, total 3352s)
  [70/261] int_unary:clamp_min_big (44s, total 3700s)
  [80/261] int_unary:true_div_scalar (45s, total 4151s)
  [90/261] float_binary:div (23s, total 4584s)
  [100/261] float_binary:copysign (22s, total 4785s)
  [110/261] float_binary:heaviside (24s, total 5006s)
  [120/261] float_binary:clamp_max_tensor (9s, total 5209s)
  [130/261] float_unary:trunc (23s, total 5427s)
  [140/261] float_unary:rsqrt (21s, total 5629s)
  [150/261] float_unary:sigmoid (22s, total 5845s)
  [160/261] float_unary:erf (21s, total 6062s)
  [170/261] float_unary:isnan (22s, total 6281s)
  [180/261] float_unary:relu6 (22s, total 6486s)
  [190/261] float_unary:softsign (21s, total 6704s)
  [200/261] float_unary:rpow_2 (8s, total 6867s)
  [210/261] float_unary:floordiv_zero (22s, total 7084s)
  [220/261] float_unary:minimum_zero (21s, total 7285s)
  [230/261] float_unary:cummax (8s, total 7455s)
  [240/261] float_unary:median (8s, total 7579s)
  [250/261] float_unary:cast_half_back (22s, total 7756s)
  [260/261] cast:int_roundtrip (21s, total 7976s)
[isolate] finished in 7998s
