[isolate] 134 items to run (0 already done)
  [10/134] broadcast_shapes (9s, total 192s)
  [19/134] cumprod (63s, total 437s)
  [20/134] diag (33s, total 470s)
  [30/134] fft.ihfftn (21s, total 727s)
  [36/134] gradient (63s, total 946s)
  [40/134] index_add (19s, total 1073s)
  [41/134] index_reduce (67s, total 1140s)
  [48/134] linalg.householder_product (148s, total 1466s)
  [50/134] linalg.lu_factor (21s, total 1507s)
  [60/134] long (29s, total 1834s)
  [70/134] msort (24s, total 2118s)
  [76/134] nn.functional.avg_pool2d (85s, total 2382s)
  [80/134] nn.functional.cross_entropy (52s, total 2538s)
  [90/134] nn.functional.multilabel_soft_margin_loss (53s, total 2926s)
  [100/134] put (45s, total 3234s)
  [110/134] signbit (32s, total 3473s)
  [120/134] special.spherical_bessel_j0 (24s, total 3737s)
  [123/134] std_mean (61s, total 3832s)
  [130/134] unbind (19s, total 4006s)
[isolate] finished in 4111s
