[isolate] 134 items to run (0 already done)
  [10/134] broadcast_tensors (17s, total 191s)
  [20/134] diag_embed (34s, total 487s)
  [30/134] fft.irfft (17s, total 804s)
  [36/134] grid_sampler_2d (90s, total 1089s)
  [40/134] index_copy (39s, total 1180s)
  [50/134] linalg.lu_factor_ex (27s, total 1440s)
  [60/134] lt (20s, total 1735s)
  [67/134] max (68s, total 1947s)
  [70/134] mul (34s, total 2018s)
  [80/134] nn.functional.ctc_loss (13s, total 2356s)
  [88/134] nn.functional.max_unpool2d (65s, total 2692s)
  [90/134] nn.functional.nll_loss (41s, total 2748s)
  [97/134] ormqr (122s, total 3086s)
  [100/134] quantile (51s, total 3194s)
  [110/134] sin (37s, total 3447s)
  [120/134] special.xlog1py (34s, total 3742s)
  [130/134] unbind_copy (33s, total 3970s)
[isolate] finished in 4078s
