[isolate] 134 items to run (0 already done)
  [10/134] broadcast_to (16s, total 212s)
  [20/134] diagflat (32s, total 484s)
  [30/134] fft.irfft2 (21s, total 730s)
  [40/134] index_fill (57s, total 1059s)
  [50/134] linalg.lu_solve (29s, total 1269s)
  [60/134] lu (16s, total 1559s)
  [67/134] max_pool2d_with_indices_backward (64s, total 1809s)
  [70/134] mv (17s, total 1857s)
  [80/134] nn.functional.elu (16s, total 2173s)
  [82/134] nn.functional.grid_sample (70s, total 2257s)
  [87/134] nn.functional.max_pool2d (141s, total 2602s)
  [88/134] nn.functional.max_unpool3d (66s, total 2668s)
  [90/134] nn.functional.pad (31s, total 2750s)
  [100/134] rad2deg (29s, total 3050s)
  [105/134] scatter_reduce (62s, total 3238s)
  [110/134] sinc (36s, total 3333s)
  [120/134] special.zeta (27s, total 3638s)
  [130/134] unflatten (13s, total 3886s)
[isolate] finished in 3976s
