[isolate] 133 items to run (0 already done)
  [10/133] bucketize (18s, total 198s)
  [20/133] diagonal (10s, total 434s)
  [30/133] fft.irfftn (19s, total 741s)
  [40/133] index_put (51s, total 1036s)
  [50/133] linalg.matrix_norm (45s, total 1268s)
  [60/133] lu_solve (19s, total 1537s)
  [64/133] masked.prod (63s, total 1698s)
  [68/133] min (71s, total 1845s)
  [70/133] mvlgamma (42s, total 1902s)
  [80/133] nn.functional.embedding (37s, total 2228s)
  [90/133] nn.functional.pairwise_distance (43s, total 2610s)
  [100/133] ravel (22s, total 2914s)
  [110/133] sinh (43s, total 3125s)
  [120/133] split (42s, total 3433s)
  [122/133] std (70s, total 3537s)
  [130/133] unfold (17s, total 3725s)
[isolate] finished in 3766s
