[isolate] 154 items to run (0 already done)
  [10/154] f32:maximum (8s, total 85s)
  [20/154] f32:lerp (9s, total 172s)
  [30/154] f32:x_pow_1 (8s, total 254s)
  [40/154] f32:cast_roundtrip_i32 (8s, total 329s)
  [50/154] f32:min (8s, total 415s)
  [60/154] f32:tanh (9s, total 499s)
  [70/154] f32:matmul_then_add (8s, total 596s)
  [80/154] f32:expm1 (11s, total 685s)
  [90/154] i64:add (9s, total 782s)
  [100/154] i64:rshift (8s, total 859s)
  [110/154] i64:cumsum (9s, total 932s)
  [120/154] i64:x_plus_0 (7s, total 1023s)
  [130/154] i32:add (7s, total 1100s)
  [140/154] i32:div_true (8s, total 1177s)
  [150/154] bool:to_float (8s, total 1253s)
[isolate] finished in 1285s
