bug_id,issue_number,issue_url,reproducer_path,program,old_version,old_version_result,old_report_dir,new_version,new_version_result,new_report_dir,same_device_and_platform,env_old,env_new,issue_state,fix_pr_or_commit,fix_in_new_version,fix_evidence,evidence_type,checked_at
PT-0001,113641,https://github.com/pytorch/pytorch/issues/113641,plan/reproducers_gh/issue_113641_compiling_double_inplace_clamp_on_stride.py,issue_113641_compiling_double_inplace_clamp_on_stride,2.10.0+cpu,"diverged: compiled raises where eager returns (exception) [4 records, 16 tests, stage dynamo_capture; kind taken from the T4 2.10.0+cu128 run (gpu_reports_gh_cpu_set); Kaggle CPU record dirs not pulled]",plan/kaggle_out/chenyuefei_notebookf4aab87efb/plan/reports_gh_cpu_2.10,2.14.0+cpu,ok: no divergence in 16 tests,plan/kaggle_out/chenyuefei_notebook955c6cac50/plan/reports_gh_cpu_2.14,"yes: both Kaggle Linux CPU notebooks (side A f4aab87efb = 2.10.0+cpu; side B 955c6cac50 = 2.14.0+cpu), same plan_kaggle.zip, backend inductor, reruns=2","torch 2.10.0+cpu, Python 3.12.13, Linux 6.12.90+ x86_64 glibc 2.35, g++, backend inductor (environment.txt in report dirs)","torch 2.14.0+cpu, device cpu, backend inductor (isolated_children.log; no environment.txt pulled, Python/kernel not recorded)","closed (completed), closed 2023-11-17",closing commit e736d27e38; PR #113838 landed e736d27e38,yes,"closing-event commit e736d27e38: compare v2.14.0...sha = behind (fix_in_release.py, 2026-09-11) | PR #113838 (Fixes) landed e736d27e38 on 2023-11-17; vs v2.14.0: behind",version-diff + fix commit,2026-09-25
PT-0002,166514,https://github.com/pytorch/pytorch/issues/166514,plan/reproducers_gh/issue_166514_inductor_fails_with_stride_mismatch_for.py,issue_166514_inductor_fails_with_stride_mismatch_for,2.10.0+cpu,"diverged: compiled raises where eager returns (exception) [6 records, 14 tests, stage inductor_codegen; record.json triage.kinds (Kaggle CPU 2.10 run)]",plan/kaggle_out/chenyuefei_notebookf4aab87efb/plan/reports_gh_cpu_2.10,2.14.0+cpu,ok: no divergence in 14 tests,plan/kaggle_out/chenyuefei_notebook955c6cac50/plan/reports_gh_cpu_2.14,"yes: both Kaggle Linux CPU notebooks (side A f4aab87efb = 2.10.0+cpu; side B 955c6cac50 = 2.14.0+cpu), same plan_kaggle.zip, backend inductor, reruns=2","torch 2.10.0+cpu, Python 3.12.13, Linux 6.12.90+ x86_64 glibc 2.35, g++, backend inductor (environment.txt in report dirs)","torch 2.14.0+cpu, device cpu, backend inductor (isolated_children.log; no environment.txt pulled, Python/kernel not recorded)","closed (completed), closed 2026-05-16",none found (closed manually; no landed PR cross-referenced),unknown,"PR #168107 closed, no landed commit found by commit search (Fixes)",version-diff only,2026-09-25
PT-0003,174969,https://github.com/pytorch/pytorch/issues/174969,plan/reproducers_gh/issue_174969_torch_compile_outputs_incorrect_results.py,issue_174969_torch_compile_outputs_incorrect_results,2.10.0+cpu,"diverged: value oracle [4 records, 16 tests, stage inductor_codegen; record.json triage.kinds (Kaggle CPU 2.10 run)]",plan/kaggle_out/chenyuefei_notebookf4aab87efb/plan/reports_gh_cpu_2.10,2.14.0+cpu,ok: no divergence in 16 tests,plan/kaggle_out/chenyuefei_notebook955c6cac50/plan/reports_gh_cpu_2.14,"yes: both Kaggle Linux CPU notebooks (side A f4aab87efb = 2.10.0+cpu; side B 955c6cac50 = 2.14.0+cpu), same plan_kaggle.zip, backend inductor, reruns=2","torch 2.10.0+cpu, Python 3.12.13, Linux 6.12.90+ x86_64 glibc 2.35, g++, backend inductor (environment.txt in report dirs)","torch 2.14.0+cpu, device cpu, backend inductor (isolated_children.log; no environment.txt pulled, Python/kernel not recorded)","closed (completed), closed 2026-03-31",closing commit ae81c1491f; PR #175623 landed ae81c1491f,yes,"closing-event commit ae81c1491f: compare v2.14.0...sha = behind (fix_in_release.py, 2026-09-11) | PR #175623 (Fixes) landed ae81c1491f on 2026-03-31; vs v2.14.0: behind",version-diff + fix commit,2026-09-25
PT-0004,175156,https://github.com/pytorch/pytorch/issues/175156,plan/reproducers_gh/issue_175156_inductor_multiple_randint_calls_cause_in.py,issue_175156_inductor_multiple_randint_calls_cause_in,2.10.0+cpu,"diverged: value oracle [2 records, 3 tests, stage inductor_codegen; record.json triage.kinds (Kaggle CPU 2.10 run)]",plan/kaggle_out/chenyuefei_notebookf4aab87efb/plan/reports_gh_cpu_2.10,2.14.0+cpu,ok: no divergence in 3 tests,plan/kaggle_out/chenyuefei_notebook955c6cac50/plan/reports_gh_cpu_2.14,"yes: both Kaggle Linux CPU notebooks (side A f4aab87efb = 2.10.0+cpu; side B 955c6cac50 = 2.14.0+cpu), same plan_kaggle.zip, backend inductor, reruns=2","torch 2.10.0+cpu, Python 3.12.13, Linux 6.12.90+ x86_64 glibc 2.35, g++, backend inductor (environment.txt in report dirs)","torch 2.14.0+cpu, device cpu, backend inductor (isolated_children.log; no environment.txt pulled, Python/kernel not recorded)","closed (completed), closed 2026-05-14",PR #176842 landed ea0a353f21,yes,PR #176842 (Fixes) landed ea0a353f21 on 2026-03-24; vs v2.14.0: behind,version-diff + fix commit,2026-09-25
PT-0005,175496,https://github.com/pytorch/pytorch/issues/175496,plan/reproducers_gh/issue_175496_inductor_model_with_torch_compile_output.py,issue_175496_inductor_model_with_torch_compile_output,2.10.0+cpu,"diverged: value oracle [4 records, 16 tests, stage inductor_codegen; record.json triage.kinds (Kaggle CPU 2.10 run)]",plan/kaggle_out/chenyuefei_notebookf4aab87efb/plan/reports_gh_cpu_2.10,2.14.0+cpu,ok: no divergence in 16 tests,plan/kaggle_out/chenyuefei_notebook955c6cac50/plan/reports_gh_cpu_2.14,"yes: both Kaggle Linux CPU notebooks (side A f4aab87efb = 2.10.0+cpu; side B 955c6cac50 = 2.14.0+cpu), same plan_kaggle.zip, backend inductor, reruns=2","torch 2.10.0+cpu, Python 3.12.13, Linux 6.12.90+ x86_64 glibc 2.35, g++, backend inductor (environment.txt in report dirs)","torch 2.14.0+cpu, device cpu, backend inductor (isolated_children.log; no environment.txt pulled, Python/kernel not recorded)","closed (completed), closed 2026-05-15",none found (closed manually; no landed PR cross-referenced),unknown,no closing commit and no cross-referenced PR found,version-diff only,2026-09-25
PT-0006,175632,https://github.com/pytorch/pytorch/issues/175632,plan/reproducers_gh/issue_175632_inductor_torch_compile_produces_inconsis.py,issue_175632_inductor_torch_compile_produces_inconsis,2.10.0+cpu,"diverged: value oracle [3 records, 16 tests, stage inductor_codegen; record.json triage.kinds (Kaggle CPU 2.10 run)]",plan/kaggle_out/chenyuefei_notebookf4aab87efb/plan/reports_gh_cpu_2.10,2.14.0+cpu,ok: no divergence in 16 tests,plan/kaggle_out/chenyuefei_notebook955c6cac50/plan/reports_gh_cpu_2.14,"yes: both Kaggle Linux CPU notebooks (side A f4aab87efb = 2.10.0+cpu; side B 955c6cac50 = 2.14.0+cpu), same plan_kaggle.zip, backend inductor, reruns=2","torch 2.10.0+cpu, Python 3.12.13, Linux 6.12.90+ x86_64 glibc 2.35, g++, backend inductor (environment.txt in report dirs)","torch 2.14.0+cpu, device cpu, backend inductor (isolated_children.log; no environment.txt pulled, Python/kernel not recorded)","closed (completed), closed 2026-03-25",none found (closed manually; no landed PR cross-referenced),unknown,no closing commit and no cross-referenced PR found,version-diff only,2026-09-25
PT-0007,175919,https://github.com/pytorch/pytorch/issues/175919,plan/reproducers_gh/issue_175919_inductor_out_of_bounds_memory_read_via_r.py,issue_175919_inductor_out_of_bounds_memory_read_via_r,2.10.0+cpu,"diverged: value oracle [3 records, 16 tests, stage inductor_codegen; record.json triage.kinds (Kaggle CPU 2.10 run)]",plan/kaggle_out/chenyuefei_notebookf4aab87efb/plan/reports_gh_cpu_2.10,2.14.0+cpu,ok: no divergence in 16 tests,plan/kaggle_out/chenyuefei_notebook955c6cac50/plan/reports_gh_cpu_2.14,"yes: both Kaggle Linux CPU notebooks (side A f4aab87efb = 2.10.0+cpu; side B 955c6cac50 = 2.14.0+cpu), same plan_kaggle.zip, backend inductor, reruns=2","torch 2.10.0+cpu, Python 3.12.13, Linux 6.12.90+ x86_64 glibc 2.35, g++, backend inductor (environment.txt in report dirs)","torch 2.14.0+cpu, device cpu, backend inductor (isolated_children.log; no environment.txt pulled, Python/kernel not recorded)","closed (completed), closed 2026-03-26",closing commit fd55c516bd,yes,"closing-event commit fd55c516bd: compare v2.14.0...sha = behind (fix_in_release.py, 2026-09-11) | PR #176651 (references issue) landed fd55c516bd on 2026-03-26; vs v2.14.0: behind",version-diff + fix commit,2026-09-25
PT-0008,176854,https://github.com/pytorch/pytorch/issues/176854,plan/reproducers_gh/issue_176854_torch_compile_does_not_correctly_propaga.py,issue_176854_torch_compile_does_not_correctly_propaga,2.10.0+cpu,"diverged: value oracle [1 records, 16 tests, stage dynamo_capture; record.json triage.kinds (Kaggle CPU 2.10 run)]",plan/kaggle_out/chenyuefei_notebookf4aab87efb/plan/reports_gh_cpu_2.10,2.14.0+cpu,ok: no divergence in 16 tests,plan/kaggle_out/chenyuefei_notebook955c6cac50/plan/reports_gh_cpu_2.14,"yes: both Kaggle Linux CPU notebooks (side A f4aab87efb = 2.10.0+cpu; side B 955c6cac50 = 2.14.0+cpu), same plan_kaggle.zip, backend inductor, reruns=2","torch 2.10.0+cpu, Python 3.12.13, Linux 6.12.90+ x86_64 glibc 2.35, g++, backend inductor (environment.txt in report dirs)","torch 2.14.0+cpu, device cpu, backend inductor (isolated_children.log; no environment.txt pulled, Python/kernel not recorded)","closed (completed), closed 2026-03-24",PR #177875 landed e534ad5160,yes,PR #177875 (Fixes) landed e534ad5160 on 2026-03-24; vs v2.14.0: behind,version-diff + fix commit,2026-09-25
PT-0009,177252,https://github.com/pytorch/pytorch/issues/177252,plan/reproducers_gh/issue_177252_inductor_assertionerror_wrong_number_of.py,issue_177252_inductor_assertionerror_wrong_number_of,2.10.0+cpu,"diverged: metadata+value oracle [4 records, 16 tests, stage aot_functionalization; record.json triage.kinds (Kaggle CPU 2.10 run)]",plan/kaggle_out/chenyuefei_notebookf4aab87efb/plan/reports_gh_cpu_2.10,2.14.0+cpu,ok: no divergence in 16 tests,plan/kaggle_out/chenyuefei_notebook955c6cac50/plan/reports_gh_cpu_2.14,"yes: both Kaggle Linux CPU notebooks (side A f4aab87efb = 2.10.0+cpu; side B 955c6cac50 = 2.14.0+cpu), same plan_kaggle.zip, backend inductor, reruns=2","torch 2.10.0+cpu, Python 3.12.13, Linux 6.12.90+ x86_64 glibc 2.35, g++, backend inductor (environment.txt in report dirs)","torch 2.14.0+cpu, device cpu, backend inductor (isolated_children.log; no environment.txt pulled, Python/kernel not recorded)","closed (completed), closed 2026-03-18",PR #177270 landed 6548add3ea,yes,PR #177270 (Fixes) landed 6548add3ea on 2026-03-18; vs v2.14.0: behind,version-diff + fix commit,2026-09-25
PT-0010,177629,https://github.com/pytorch/pytorch/issues/177629,plan/reproducers_gh/issue_177629_torch_compile_backend_inductor_silently.py,issue_177629_torch_compile_backend_inductor_silently,2.10.0+cpu,"diverged: compiled raises where eager returns (exception) [1 records, 16 tests, stage inductor_codegen; record.json triage.kinds (Kaggle CPU 2.10 run)]",plan/kaggle_out/chenyuefei_notebookf4aab87efb/plan/reports_gh_cpu_2.10,2.14.0+cpu,ok: no divergence in 16 tests,plan/kaggle_out/chenyuefei_notebook955c6cac50/plan/reports_gh_cpu_2.14,"yes: both Kaggle Linux CPU notebooks (side A f4aab87efb = 2.10.0+cpu; side B 955c6cac50 = 2.14.0+cpu), same plan_kaggle.zip, backend inductor, reruns=2","torch 2.10.0+cpu, Python 3.12.13, Linux 6.12.90+ x86_64 glibc 2.35, g++, backend inductor (environment.txt in report dirs)","torch 2.14.0+cpu, device cpu, backend inductor (isolated_children.log; no environment.txt pulled, Python/kernel not recorded)","closed (completed), closed 2026-06-09",none found (closed manually; no landed PR cross-referenced),unknown,no closing commit and no cross-referenced PR found,version-diff only,2026-09-25
