seed,detected,faults,tests_executed,tests_invalid,invalid_rate,compiles,wall_s,mean_ttf_s,mean_tests_to_detect,unique_failure_clusters,codegen_value,codegen_boundary_32,codegen_boundary_31,codegen_mod16_tail,codegen_index_last,codegen_noncontig,codegen_fp16_rounding,codegen_dynamic_flag,codegen_scalar_edge,functionalize_drop_mutation,functionalize_alias_to_copy,capture_swallow_exception,autograd_wrong_gradient,underspec_dtype,underspec_scalar,underspec_layout,underspec_requires_grad,cache_stale_on_return,cache_result_memo
0,11,19,458,109,0.1922,1325,45.3,0.55,5.0,11,1,1,0,1,0,1,1,1,0,0,0,0,0,1,1,1,0,1,1
1,12,19,483,108,0.1827,1429,55.7,0.54,4.83,13,1,1,0,0,1,1,1,1,0,0,0,1,0,1,1,1,0,1,1
2,11,19,457,120,0.208,1316,49.4,0.43,4.25,11,1,1,0,1,0,1,1,1,0,0,0,1,0,1,0,1,0,1,1
3,11,19,499,96,0.1613,1489,51.8,0.46,4.47,11,1,1,0,1,1,1,0,1,0,0,0,1,0,0,1,1,0,1,1
4,11,19,490,114,0.1887,1443,50.6,0.61,5.58,12,1,1,0,1,0,1,0,1,0,0,0,1,0,1,1,1,0,1,1
5,11,19,494,75,0.1318,1463,53.6,0.8,5.79,12,1,1,0,1,0,1,1,0,0,0,0,1,0,1,1,1,0,1,1
6,6,19,559,122,0.1791,1689,79.4,1.0,5.38,6,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0
7,10,19,488,95,0.163,1449,47.2,0.48,4.71,10,1,1,0,1,1,1,0,1,0,0,0,1,0,0,1,1,0,0,1
8,11,19,513,110,0.1766,1507,51.8,0.66,6.18,12,1,1,0,1,1,1,0,1,0,0,0,1,0,1,0,1,0,1,1
9,10,19,486,126,0.2059,1409,56.2,0.68,5.58,10,1,1,0,1,1,1,0,0,0,0,0,0,0,1,1,1,0,1,1
