fault,category,seed0_ttd_cum,seed1_ttd_cum,seed2_ttd_cum,seed3_ttd_cum,seed4_ttd_cum,seed5_ttd_cum,seed6_ttd_cum,seed7_ttd_cum,seed8_ttd_cum,seed9_ttd_cum,seed0_ttf_s_cum,seed1_ttf_s_cum,seed2_ttf_s_cum,seed3_ttf_s_cum,seed4_ttf_s_cum,seed5_ttf_s_cum,seed6_ttf_s_cum,seed7_ttf_s_cum,seed8_ttf_s_cum,seed9_ttf_s_cum
codegen_value,codegen,1,1,1,1,1,1,1,1,1,1,2.134,0.141,0.182,0.165,0.71,2.201,0.75,0.501,0.71,0.993
codegen_boundary_32,shape,1,1,1,1,1,1,1,1,1,1,0.087,0.089,0.098,0.096,0.086,0.12,0.132,0.098,0.083,0.117
codegen_boundary_31,shape,,,,,,,,,,,,,,,,,,,,
codegen_mod16_tail,shape,2,,23,14,8,20,,17,2,14,0.383,,2.337,1.618,0.913,1.822,,2.587,0.187,1.97
codegen_index_last,shape,,5,,2,,,5,2,2,11,,0.488,,0.143,,,0.666,0.187,0.179,1.676
codegen_noncontig,codegen,8,17,23,38,26,17,47,2,17,23,0.646,1.517,2.142,3.409,2.612,1.428,9.591,0.156,1.402,2.655
codegen_fp16_rounding,dtype,35,29,14,,,11,,,,,3.408,3.239,2.431,,,1.335,,,,
codegen_dynamic_flag,codegen,26,5,2,11,11,,35,5,8,,2.687,0.659,0.33,1.31,1.418,,8.176,0.688,0.865,
codegen_scalar_edge,control_flow,,,,,,,,,,,,,,,,,,,,
functionalize_drop_mutation,alias_mutation,,,,,,,,,,,,,,,,,,,,
functionalize_alias_to_copy,alias_mutation,,,,,,,,,,,,,,,,,,,,
capture_swallow_exception,control_flow,,5,5,2,11,2,,11,5,,,0.695,0.841,0.74,1.448,0.347,,1.149,0.744,
autograd_wrong_gradient,codegen,,,,,,,,,,,,,,,,,,,,
underspec_dtype,specialization,4,19,16,,4,16,,,22,4,0.404,2.604,1.773,,0.468,1.741,,,2.013,0.46
underspec_scalar,specialization,36,27,,15,18,24,,33,,18,3.089,3.114,,1.334,1.661,2.164,,2.707,,1.594
underspec_layout,specialization,9,24,27,39,27,33,48,3,36,24,0.704,2.628,2.383,3.806,2.52,3.695,4.032,0.282,2.886,2.128
underspec_requires_grad,specialization,,,,,,,,,,,,,,,,,,,,
cache_stale_on_return,cache,3,18,15,24,3,12,,,21,3,0.355,2.438,1.567,2.742,0.375,1.686,,,1.851,0.488
cache_result_memo,cache,3,15,15,24,3,12,,33,21,3,0.629,2.601,1.63,2.632,0.396,1.718,,3.318,3.21,0.354
