root_cause_id,T1,T2,T3,weakest_tier,observable_that_fires,T1_primary,T2_primary,T3_primary,weakest_tier_primary,observable_primary,n_subcases_run,reproducible_here
B2,1,1,1,T1,value,1,1,1,T1,value,2,yes
B3,1,1,1,T1,crash,1,1,1,T1,crash,1,yes
B4,1,1,1,T1,exception,1,1,1,T1,exception,1,yes
B5,,,,,,,,,,,0,no
B6,1,1,1,T1,value,1,1,1,T1,value,2,yes
B7,1,1,1,T1,exception,1,1,1,T1,exception,3,yes
B8,1,1,1,T1,value,0,1,1,T2,metadata,5,yes
B9,1,1,1,T1,exception,1,1,1,T1,exception,1,yes
B10,1,1,1,T1,exception,1,1,1,T1,exception,1,yes
B11,1,1,1,T1,exception,1,1,1,T1,exception,1,yes
B12,0,0,1,T3,exception-routing,0,0,1,T3,exception-routing,1,yes
B13,1,1,1,T1,exception,1,1,1,T1,exception,1,yes
B14,1,1,1,T1,exception,1,1,1,T1,exception,1,yes
B15,0,1,1,T2,metadata,0,1,1,T2,metadata,1,yes
B17,1,1,1,T1,value,1,1,1,T1,value,1,yes
B18,0,0,1,T3,exception-type,0,0,1,T3,exception-type,1,yes
B19,1,1,1,T1,exception,1,1,1,T1,exception,1,yes
B20,1,1,1,T1,exception,1,1,1,T1,exception,1,yes
B21,1,1,1,T1,exception,1,1,1,T1,exception,1,yes
B22,1,1,1,T1,exception,1,1,1,T1,exception,2,yes
B23,1,1,1,T1,exception,1,1,1,T1,exception,1,yes
B24,1,1,1,T1,value,1,1,1,T1,value,2,yes
B25,0,1,1,T2,metadata,0,1,1,T2,metadata,1,yes
B26,1,1,1,T1,value,1,1,1,T1,value,1,yes
B27,1,1,1,T1,exception,1,1,1,T1,exception,1,yes
C1,0,0,1,T3,exception-routing,0,0,1,T3,exception-routing,1,yes
C3,1,1,1,T1,value,1,1,1,T1,value,5,yes
C5,0,0,1,T3,exception-routing,0,0,1,T3,exception-routing,10,yes
C8,0,0,1,T3,alias,0,0,1,T3,alias,3,yes
C10,1,1,1,T1,value,1,1,1,T1,value,2,yes
C11,0,0,1,T3,state,0,0,1,T3,state,4,yes
C13,1,1,1,T1,value,1,1,1,T1,value,6,yes
C14,1,1,1,T1,value,1,1,1,T1,value,1,yes
C15,1,1,1,T1,value,1,1,1,T1,value,4,yes
C16,1,1,1,T1,value,1,1,1,T1,value,2,yes
C17,1,1,1,T1,value,1,1,1,T1,value,2,yes
C20,1,1,1,T1,exception;value,1,1,1,T1,value,5,yes
C21,1,1,1,T1,value,1,1,1,T1,value,2,yes
C22,0,0,1,T3,exception-routing,0,0,1,T3,exception-routing,4,yes
C23,0,0,1,T3,exception-routing,0,0,1,T3,exception-routing,3,yes
C25,1,1,1,T1,value,1,1,1,T1,value,2,yes
C28,1,1,1,T1,value,1,1,1,T1,value,1,yes
C29,1,1,1,T1,value,0,1,1,T2,metadata,3,yes
C34,0,0,1,T3,gradient,0,0,1,T3,gradient,2,yes
C35,1,1,1,T1,value,1,1,1,T1,value,2,yes
C36,1,1,1,T1,value,1,1,1,T1,value,2,yes
C37,0,0,1,T3,exception-routing,0,0,1,T3,exception-routing,14,yes
C40,0,0,1,T3,reference,0,0,1,T3,reference,2,yes
C41,0,0,1,T3,state,0,0,1,T3,state,2,yes
C42,1,1,1,T1,value,1,1,1,T1,value,3,yes
C44,1,1,1,T1,exception,1,1,1,T1,exception,5,yes
C46,0,0,1,T3,process,0,0,1,T3,process,1,yes
