program,module,call,static_breaks,breaks_hit,frames_baseline,frames_break,baseline_kind,break_kind,pair
gen_list,dynamo_semantics,0,1,1,1,3,,,same
gen_list,dynamo_semantics,1,1,1,1,3,,,same
gen_expr_sum,dynamo_semantics,0,0,0,1,1,,,same
gen_expr_sum,dynamo_semantics,1,0,0,1,1,,,same
gen_yield_from,dynamo_semantics,0,2,2,1,4,,,same
gen_yield_from,dynamo_semantics,1,2,2,1,4,,,same
gen_early_close,dynamo_semantics,0,4,2,2,2,,,same
gen_early_close,dynamo_semantics,1,4,2,2,2,,,same
gen_send,dynamo_semantics,0,4,3,1,4,,raise,new
gen_send,dynamo_semantics,1,4,3,1,4,,raise,new
try_except_shape_error,dynamo_semantics,0,1,2,2,3,,,same
try_except_shape_error,dynamo_semantics,1,1,2,2,3,,,same
try_finally_return,dynamo_semantics,0,1,1,2,4,,,same
try_finally_return,dynamo_semantics,1,1,1,2,4,,,same
raise_custom,dynamo_semantics,0,2,2,3,5,,,same
raise_custom,dynamo_semantics,1,2,2,3,5,,,same
assert_message,dynamo_semantics,0,1,0,1,1,,,same
assert_message,dynamo_semantics,1,1,0,1,1,,,same
except_index_error,dynamo_semantics,0,2,2,1,3,,,same
except_index_error,dynamo_semantics,1,2,2,1,3,,,same
nested_exception_reraise,dynamo_semantics,0,1,2,2,4,,,same
nested_exception_reraise,dynamo_semantics,1,1,2,2,4,,,same
stopiteration_default,dynamo_semantics,0,2,2,1,3,,,same
stopiteration_default,dynamo_semantics,1,2,2,1,3,,,same
ctx_class,dynamo_semantics,0,2,4,4,7,,,same
ctx_class,dynamo_semantics,1,2,4,4,7,,,same
ctx_contextlib,dynamo_semantics,0,2,3,2,5,,,same
ctx_contextlib,dynamo_semantics,1,2,3,2,5,,,same
ctx_exception_inside,dynamo_semantics,0,2,4,5,7,,,same
ctx_exception_inside,dynamo_semantics,1,2,4,5,7,,,same
ctx_no_grad_nested,dynamo_semantics,0,2,3,1,4,,,same
ctx_no_grad_nested,dynamo_semantics,1,2,3,1,4,,,same
ctx_set_grad_enabled,dynamo_semantics,0,5,6,1,7,,,same
ctx_set_grad_enabled,dynamo_semantics,1,5,6,1,7,,,same
closure_nonlocal_counter,dynamo_semantics,0,3,3,1,4,,,same
closure_nonlocal_counter,dynamo_semantics,1,3,3,1,4,,,same
closure_late_binding,dynamo_semantics,0,2,1,1,5,,,same
closure_late_binding,dynamo_semantics,1,2,1,1,5,,,same
closure_mutable_default,dynamo_semantics,0,1,1,1,3,,,same
closure_mutable_default,dynamo_semantics,1,1,1,1,3,,,same
partial_kwargs,dynamo_semantics,0,2,2,1,3,,,same
partial_kwargs,dynamo_semantics,1,2,2,1,3,,,same
args_kwargs_forward,dynamo_semantics,0,2,2,1,4,,,same
args_kwargs_forward,dynamo_semantics,1,2,2,1,4,,,same
dict_order_and_ops,dynamo_semantics,0,6,6,1,7,,,same
dict_order_and_ops,dynamo_semantics,1,6,6,1,7,,,same
dict_update_merge,dynamo_semantics,0,4,4,1,6,,,same
dict_update_merge,dynamo_semantics,1,4,4,1,6,,,same
set_ops,dynamo_semantics,0,4,4,1,5,,,same
set_ops,dynamo_semantics,1,4,4,1,5,,,same
list_slice_assign,dynamo_semantics,0,5,5,1,6,,,same
list_slice_assign,dynamo_semantics,1,5,5,1,6,,,same
list_sort_key,dynamo_semantics,0,2,2,3,4,,,same
list_sort_key,dynamo_semantics,1,2,2,3,4,,,same
list_extend_in_loop,dynamo_semantics,0,2,2,1,3,,,same
list_extend_in_loop,dynamo_semantics,1,2,2,1,3,,,same
collections_types,dynamo_semantics,0,9,9,1,10,,return,new
collections_types,dynamo_semantics,1,9,9,1,10,,return,new
itertools_mix,dynamo_semantics,0,3,3,1,4,,,same
itertools_mix,dynamo_semantics,1,3,3,1,4,,,same
zip_strict_error,dynamo_semantics,0,1,0,1,1,,,same
zip_strict_error,dynamo_semantics,1,1,0,1,1,,,same
int_semantics,dynamo_semantics,0,1,1,1,2,,,same
int_semantics,dynamo_semantics,1,1,1,1,2,,,same
float_nan_semantics,dynamo_semantics,0,1,1,1,2,,,same
float_nan_semantics,dynamo_semantics,1,1,1,1,2,,,same
shape_arith,dynamo_semantics,0,1,1,1,2,,,same
shape_arith,dynamo_semantics,1,1,1,1,2,,,same
bigint_to_tensor,dynamo_semantics,0,0,0,1,1,,,same
bigint_to_tensor,dynamo_semantics,1,0,0,1,1,,,same
iterate_rows,dynamo_semantics,0,3,3,1,4,,,same
iterate_rows,dynamo_semantics,1,3,3,1,4,,,same
unpack_and_star,dynamo_semantics,0,2,2,1,3,,,same
unpack_and_star,dynamo_semantics,1,2,2,1,3,,,same
fancy_index,dynamo_semantics,0,6,6,2,8,,,same
fancy_index,dynamo_semantics,1,6,6,2,8,,,same
item_and_python_math,dynamo_semantics,0,2,2,4,6,,,same
item_and_python_math,dynamo_semantics,1,2,2,4,6,,,same
bool_tensor_branch,dynamo_semantics,0,1,1,2,3,,,same
bool_tensor_branch,dynamo_semantics,1,1,1,2,3,,,same
data_dependent_shape,dynamo_semantics,0,1,1,3,4,,,same
data_dependent_shape,dynamo_semantics,1,1,1,3,4,,,same
string_ops,dynamo_semantics,0,3,3,1,4,,,same
string_ops,dynamo_semantics,1,3,3,1,4,,,same
graph_break_in_loop,dynamo_semantics,0,3,1,1,2,,,same
