torch 2.14.0+cpu
!! mean(int8)                             eager raises RuntimeError                                          | aot_eager raises TorchRuntimeError                 | inductor raises TorchRuntimeError
   mean(int8, dtype=float)                eager 1.5 float32                                                  | aot_eager 1.5 float32                              | inductor 1.5 float32
!! mean(bool)                             eager raises RuntimeError                                          | aot_eager raises TorchRuntimeError                 | inductor raises TorchRuntimeError
   sub(bool, bool)                        eager raises NotImplementedError                                   | aot_eager raises NotImplementedError               | inductor raises NotImplementedError
!! sub(bool, 1)                           eager raises NotImplementedError                                   | aot_eager raises NotImplementedError               | inductor [[0, -1], [0, 0]] int64
!! rsub(1, bool)                          eager raises NotImplementedError                                   | aot_eager raises NotImplementedError               | inductor [[0, 1], [0, 0]] int64
   sub(bool, bool, alpha=2)               eager raises NotImplementedError                                   | aot_eager raises NotImplementedError               | inductor raises NotImplementedError
   ldexp(int8, int8)                      eager [[2.0, -0.5], [24.0, 64.0]] float32                          | aot_eager [[2.0, -0.5], [24.0, 64.0]] float32      | inductor [[2.0, -0.5], [24.0, 64.0]] float32
   ldexp(bool, bool)                      eager [[2.0, 0.0], [2.0, 2.0]] float32                             | aot_eager [[2.0, 0.0], [2.0, 2.0]] float32         | inductor [[2.0, 0.0], [2.0, 2.0]] float32
   ldexp(uint8, 2)                        eager [[4.0, 800.0], [12.0, 16.0]] float32                         | aot_eager [[4.0, 800.0], [12.0, 16.0]] float32     | inductor [[4.0, 800.0], [12.0, 16.0]] float32
   arange(0, 5, 0.5)                      eager [1.5, 2.0, 2.5, 3.0, 3.5, 4.0, 4.5, 5.0, 5.5, 6.0] float32   | aot_eager [1.5, 2.0, 2.5, 3.0, 3.5, 4.0, 4.5, 5.0, | inductor [1.5, 2.0, 2.5, 3.0, 3.5, 4.0, 4.5, 5.0, 5.5, 6.0] float32
   arange(5) * x                          eager [0, 1, 2, 3, 4] int64                                        | aot_eager [0, 1, 2, 3, 4] int64                    | inductor [0, 1, 2, 3, 4] int64
