[isolate] 47 items to run (0 already done)
  [2/47] u:neg (195s, total 211s)
  [3/47] u:sign (228s, total 440s)
  [5/47] u:signbit (245s, total 713s)
  [6/47] u:reciprocal (225s, total 938s)
  [7/47] u:sqrt (222s, total 1160s)
  [8/47] u:rsqrt (226s, total 1386s)
  [9/47] u:square (223s, total 1609s)
  [10/47] u:exp (229s, total 1838s)
  [11/47] u:expm1 (222s, total 2060s)
  [12/47] u:exp2 (218s, total 2277s)
  [13/47] u:log (245s, total 2522s)
  [14/47] u:log1p (243s, total 2765s)
  [15/47] u:log2 (237s, total 3003s)
  [16/47] u:log10 (232s, total 3235s)
  [17/47] u:sin (240s, total 3476s)
  [18/47] u:cos (232s, total 3708s)
  [19/47] u:tan (225s, total 3934s)
  [20/47] u:asin (237s, total 4171s)
  [21/47] u:acos (233s, total 4405s)
  [22/47] u:atan (242s, total 4647s)
  [23/47] u:sinh (277s, total 4923s)
  [24/47] u:cosh (262s, total 5185s)
  [25/47] u:tanh (326s, total 5512s)
  [26/47] u:asinh (211s, total 5723s)
  [27/47] u:acosh (229s, total 5952s)
  [28/47] u:atanh (236s, total 6189s)
  [29/47] u:erf (208s, total 6398s)
  [30/47] u:erfc (235s, total 6633s)
  [31/47] u:erfinv (250s, total 6884s)
  [32/47] u:lgamma (300s, total 7184s)
  [33/47] u:digamma (410s, total 7594s)
  [34/47] u:sigmoid (325s, total 7919s)
  [35/47] u:logit (323s, total 8242s)
  [36/47] u:sinc (302s, total 8544s)
  [37/47] u:i0 (294s, total 8838s)
  [38/47] u:round (252s, total 9090s)
  [39/47] u:round_dec (119s, total 9210s)
  [40/47] u:trunc (127s, total 9337s)
  [41/47] u:floor (128s, total 9465s)
  [42/47] u:ceil (128s, total 9593s)
  [43/47] u:frac (122s, total 9715s)
  [44/47] u:nan_to_num (133s, total 9849s)
  [45/47] u:isnan (143s, total 9991s)
  [46/47] u:isinf (143s, total 10134s)
  [47/47] u:isfinite (154s, total 10288s)
[isolate] finished in 10288s
