[isolate] 47 items to run (0 already done)
  [1/47] u:logical_not (250s, total 250s)
  [2/47] u:bitwise_not_i (116s, total 367s)
  [3/47] u:relu (225s, total 592s)
  [4/47] u:relu6 (227s, total 819s)
  [5/47] u:gelu (85s, total 904s)
  [6/47] u:gelu_tanh (111s, total 1015s)
  [7/47] u:silu (103s, total 1119s)
  [8/47] u:mish (105s, total 1224s)
  [9/47] u:elu (95s, total 1319s)
  [10/47] u:selu (93s, total 1412s)
  [12/47] u:softplus (84s, total 1517s)
  [13/47] u:hardtanh (199s, total 1716s)
  [14/47] u:hardswish (106s, total 1822s)
  [15/47] u:hardsigmoid (105s, total 1927s)
  [16/47] u:leaky_relu (104s, total 2031s)
  [17/47] u:logsigmoid (107s, total 2139s)
  [18/47] u:softsign (222s, total 2361s)
  [19/47] u:tanhshrink (228s, total 2589s)
  [20/47] u:softshrink (117s, total 2706s)
  [21/47] u:hardshrink (108s, total 2814s)
  [22/47] u:clamp (228s, total 3043s)
  [23/47] u:clamp_min (237s, total 3280s)
  [26/47] u:pow3 (237s, total 3576s)
  [29/47] u:mod3 (222s, total 3847s)
  [30/47] u:mod_m3 (220s, total 4067s)
  [31/47] u:fmod3 (245s, total 4313s)
  [32/47] u:floordiv3 (233s, total 4545s)
  [33/47] u:floordiv_m3 (299s, total 4844s)
  [34/47] u:div3 (234s, total 5078s)
  [35/47] u:div_trunc (346s, total 5424s)
  [36/47] u:mul_add (254s, total 5678s)
  [37/47] u:sub_self (208s, total 5886s)
  [38/47] u:cast_i32 (206s, total 6092s)
  [39/47] u:cast_i8 (203s, total 6295s)
  [40/47] u:cast_u8 (206s, total 6501s)
  [41/47] u:cast_f16 (203s, total 6705s)
  [42/47] u:cast_bf16 (241s, total 6946s)
  [43/47] u:cast_f64 (328s, total 7274s)
  [44/47] u:cast_bool (342s, total 7616s)
  [45/47] u:where_self (305s, total 7921s)
  [46/47] u:lshift1 (142s, total 8064s)
  [47/47] u:rshift1 (143s, total 8206s)
[isolate] finished in 8206s
