[isolate] 41 items to run (0 already done)
  [1/41] b:add (225s, total 225s)
  [2/41] b:sub (206s, total 431s)
  [3/41] b:mul (235s, total 667s)
  [4/41] b:div (234s, total 900s)
  [5/41] b:floor_divide (119s, total 1019s)
  [6/41] b:div_trunc (103s, total 1122s)
  [8/41] b:fmod (100s, total 1238s)
  [9/41] b:pow (113s, total 1351s)
  [10/41] b:atan2 (245s, total 1596s)
  [11/41] b:hypot (91s, total 1688s)
  [12/41] b:copysign (247s, total 1934s)
  [13/41] b:nextafter (103s, total 2037s)
  [14/41] b:maximum (234s, total 2272s)
  [15/41] b:minimum (232s, total 2504s)
  [16/41] b:fmax (254s, total 2758s)
  [17/41] b:fmin (250s, total 3008s)
  [18/41] b:logaddexp (111s, total 3119s)
  [19/41] b:xlogy (253s, total 3372s)
  [20/41] b:heaviside (275s, total 3647s)
  [21/41] b:lt (232s, total 3879s)
  [22/41] b:le (250s, total 4129s)
  [23/41] b:eq (227s, total 4356s)
  [24/41] b:ne (260s, total 4617s)
  [25/41] b:where (269s, total 4886s)
  [26/41] b:lerp (106s, total 4992s)
  [27/41] b:addcmul (296s, total 5288s)
  [28/41] b:addcdiv (131s, total 5419s)
  [30/41] b:bitwise_and (126s, total 5566s)
  [31/41] b:bitwise_or (117s, total 5683s)
  [32/41] b:bitwise_xor (130s, total 5813s)
  [33/41] b:lshift (109s, total 5922s)
  [34/41] b:rshift (105s, total 6027s)
  [36/41] b:logical_and (234s, total 6272s)
  [37/41] b:logical_xor (233s, total 6506s)
  [38/41] b:isclose (273s, total 6778s)
  [39/41] b:smooth_l1 (122s, total 6900s)
  [40/41] b:huber (137s, total 7037s)
  [41/41] b:mse (155s, total 7192s)
[isolate] finished in 7192s
