[isolate] 183 items to run (0 already done)
  [10/183] fdiv_one (16s, total 133s)
  [20/183] div2_mul2 (16s, total 289s)
  [30/183] exp_log (16s, total 451s)
  [40/183] relu_relu (16s, total 612s)
  [50/183] pow_f2 (16s, total 767s)
  [60/183] rpow_int_2 (12s, total 921s)
  [70/183] cast_bool_back (16s, total 1077s)
  [80/183] reshape_same (12s, total 1229s)
  [90/183] cat_single (13s, total 1362s)
  [100/183] unbind_stack_dim (17s, total 1521s)
  [110/183] addmm_alpha0_inf (13s, total 1649s)
  [120/183] mul_sum_as_dot (13s, total 1775s)
  [130/183] amax_nan (16s, total 1935s)
  [140/183] norm_via_sqrt (16s, total 2092s)
  [150/183] const_linspace_int (17s, total 2251s)
  [160/183] const_eye_mul (17s, total 2409s)
  [170/183] reshape_of_transposed_copies (17s, total 2552s)
  [180/183] output_view_of_output (12s, total 2678s)
[isolate] finished in 2721s
