[isolate] 100 items to run (0 already done)
  [10/100] f:ema_inplace (44s, total 400s)
  [20/100] f:full_like (42s, total 774s)
  [30/100] f:hardtanh (26s, total 1119s)
  [40/100] f:norm_p (43s, total 1376s)
  [50/100] f:scalar_math (29s, total 1722s)
  [60/100] f:bn_momentum (58s, total 2137s)
  [63/100] f:ema_grad (91s, total 2306s)
  [64/100] f:lerp_grad (93s, total 2399s)
  [70/100] i:sum_dim (30s, total 2566s)
  [80/100] i:full_n (32s, total 2795s)
  [90/100] i:int_branch (28s, total 3054s)
  [100/100] i:int_grad (30s, total 3303s)
[isolate] finished in 3303s
