[isolate] 100 items to run (0 already done)
  [10/100] f:ema_inplace (25s, total 365s)
  [20/100] f:full_like (25s, total 709s)
  [30/100] f:hardtanh (43s, total 995s)
  [40/100] f:norm_p (43s, total 1254s)
  [50/100] f:scalar_math (27s, total 1545s)
  [60/100] f:bn_momentum (55s, total 1949s)
  [64/100] f:lerp_grad (96s, total 2168s)
  [70/100] i:sum_dim (35s, total 2336s)
  [80/100] i:full_n (30s, total 2591s)
  [90/100] i:int_branch (34s, total 2888s)
  [100/100] i:int_grad (34s, total 3163s)
[isolate] finished in 3163s
