[isolate] 138 items to run (0 already done)
  [9/138] i:mod_sym_neg: CRASH rc=3221225620 (21s)
  [10/138] i:divmod_neg (24s, total 201s)
  [20/138] i:round_half_neg (19s, total 360s)
  [30/138] i:pow_neg_exp (47s, total 553s)
  [40/138] i:lshift (19s, total 725s)
  [50/138] i:min_sym (15s, total 896s)
  [60/138] i:int_of_float_mul (15s, total 1043s)
  [70/138] i:div_zero (8s, total 1276s)
  [80/138] i:gcd (10s, total 1456s)
  [84/138] f:round1 (63s, total 1565s)
  [90/138] f:mod1 (40s, total 1712s)
  [93/138] f:divmod2 (73s, total 1861s)
  [100/138] f:max_rev (11s, total 2011s)
  [110/138] f:int_times (18s, total 2193s)
  [120/138] k:mod3 (13s, total 2436s)
  [130/138] k:round_half (9s, total 2558s)
[isolate] finished in 2656s
