[isolate] 112 items to run (0 already done)
  [10/112] slice_step_h (10s, total 101s)
  [20/112] setitem_slice_to_k (30s, total 241s)
  [30/112] pad_k_right (10s, total 333s)
  [40/112] split_h (7s, total 426s)
  [50/112] view_neg1 (7s, total 508s)
  [60/112] linspace_k (11s, total 622s)
  [70/112] topk_h (7s, total 759s)
  [80/112] cat_slices (17s, total 852s)
  [90/112] new_empty_shape (7s, total 943s)
  [100/112] one_hot_mod (16s, total 1096s)
  [110/112] shift_by_size (11s, total 1206s)
[isolate] finished in 1235s
